Year,Port,Millions of Pounds,State
2014,"Monterey, CA",67.7,CA
2014,"Petersburg, AK",64.7,AK
2014,"Moss Landing, CA",62.2,CA
2014,"Gloucester, MA",61.4,MA
2014,"Bristol Bay (Other), AK",59.0,AK
2014,"Point Judith, RI",57.3,RI
2014,"Portland, ME",56.5,ME
2014,"Los Angeles, CA",55.2,CA
2014,"Seward, AK",52.4,AK
2014,"Cape May-Wildwood, NJ",49.9,NJ
2014,"Rockland, ME",40.6,ME
2014,"Dulac-Chauvin, LA",33.7,LA
2014,"Atlantic City, NJ",29.9,NJ
2014,"Coos Bay-Charleston, OR",29.4,OR
2014,"Honolulu, HI",29.0,HI
2014,"Kenai, AK",27.9,AK
2014,"Grand Isle, LA",27.7,LA
2014,"Ilwaco-Chinook, WA",27.0,WA
2014,"Stonington, ME",25.4,ME
2014,"Point Pleasant, NJ",24.2,NJ
2014,"Wanchese-Stumpy Point, NC",22.3,NC
2014,"North Kingstown, RI",21.3,RI
2014,"Bayou La Batre, AL",20.8,AL
2014,"Princeton-Half Moon Bay, CA",20.5,CA
2014,"Provincetown-Chatham, MA",20.0,MA
2014,"San Francisco Area, CA",19.5,CA
2014,"Juneau, AK",18.5,AK
2014,"Golden Meadow-Leeville, LA",16.5,LA
2014,"Boston, MA",16.4,MA
2014,"Eureka, CA",15.0,CA
2014,"Hampton Roads Area, VA",14.7,VA
2014,"Delacroix-Yscloskey, LA",14.5,LA
2014,"Galveston, TX",14.0,TX
2014,"Bellingham, WA",14.0,WA
2014,"Key West, FL",13.4,FL
2014,"Tampa Bay-St. Petersburg, FL",12.5,FL
2014,"Brownsville-Port Isabel, TX",12.1,TX
2014,"Montauk, NY",11.8,NY
2014,"Anchorage, AK",11.3,AK
2014,"Vinalhaven, ME",10.5,ME
2014,"Shelton, WA",10.4,WA
2014,"Gulfport-Biloxi, MS",10.1,MS
2014,"Port Arthur, TX",9.4,TX
2014,"Crescent City, CA",9.3,CA
2014,"Friendship, ME",9.1,ME
2014,"Brookings, OR",8.3,OR
2014,"Morgan City-Berwick, LA",8.2,LA
2014,"Accomac, VA",8.0,VA
2014,"Fort Bragg, CA",7.7,CA
2014,"Apalachicola, FL",7.5,FL
2014,"Homer, AK",7.3,AK
2014,"Darien-Bellville, GA",7.3,GA
2014,"Beaufort-Morehead City, NC",7.3,NC
2014,"Long Beach-Barnegat, NJ",7.1,NJ
2014,"Jonesport, ME",7.1,ME
2014,"Palacios, TX",7.0,TX
2014,"Belford, NJ",7.0,NJ
2014,"Willapa Bay, WA",6.9,WA
2014,"Morro Bay, CA",6.9,CA
2014,"Beals Island, ME",6.8,ME
2014,"Santa Barbara, CA",6.6,CA
2014,"Fort Myers, FL",6.6,FL
2014,"Cameron, LA",6.6,LA
2014,"Slidell-Covington, LA",6.5,LA
2014,"Newport, RI",6.4,RI
2014,"Fairhaven, MA",6.4,MA
2014,"Seattle, WA",6.0,WA
2014,"Wrangell, AK",5.8,AK
2014,"Port Clyde, ME",5.7,ME
2014,"Ocean City, MD",5.4,MD
2014,"Yakutat, AK",5.2,AK
2014,"Engelhard-Swanquarter, NC",5.2,NC
2014,"Mayport, FL",5.0,FL
2014,"Upper Southeast (Other), AK",4.9,AK
2014,"Hampton Bay-Shinnicock, NY",4.7,NY
2014,"Neah Bay, WA",4.5,WA
2014,"New London, CT",4.3,CT
2014,"Spruce Head, ME",4.2,ME
2014,"Bodega Bay, CA",4.2,CA
2014,"Newington, NH",3.9,NH
2014,"Chincoteague, VA",3.6,VA
2014,"Olympia, WA",3.4,WA
2014,"Bon Secour-Gulf Shores, AL",3.4,AL
2014,"Panama City, FL",3.3,FL
2014,"Belhaven-Washington, NC",3.3,NC
2014,"Cape Canaveral, FL",3.0,FL
2014,"Ft. Pierce-St.Lucie, FL",2.9,FL
2014,"Blaine, WA",2.8,WA
2014,"Norton/Kotzebue Sound, AK",2.7,AK
2014,"Oriental-Vandemere, NC",2.5,NC
2014,"Everett, WA",2.5,WA
2014,"Elizabeth City, NC",2.0,NC
2014,"Tacoma, WA",1.9,WA
2014,"Stonington, CT",1.9,CT
2014,"Anacortes-La Conner, WA",1.9,WA
2014,"Port Angeles, WA",1.8,WA
2014,"Sneads Ferry-Swansboro, NC",1.7,NC
2014,"Savannah, GA",1.7,GA
2014,"San Diego, CA",1.7,CA
2014,"Port Townsend, WA",1.5,WA
2014,"Naples, FL",1.5,FL
2014,"Aransas Pass-Rockport, TX",1.5,TX
2014,"Port Orford, OR",1.4,OR
2014,"Freeport, TX",1.3,TX
2014,"Tillamook, OR",1.2,OR
2014,"La Push, WA",1.1,WA
2014,"Brunswick, GA",1.1,GA
2014,"Haines, AK",0.3,AK
2014,"Greenport, NY",0.2,NY
2014,"Cape Charles-Oyster, VA",0.1,VA
2014,"Barnegat Light, NJ",0.0,NJ
2013,"Dutch Harbor, AK",752.5,AK
2013,"Aleutian Islands (Other), AK",469.5,AK
2013,"Kodiak, AK",425.6,AK
2013,"Empire-Venice, LA",421.9,LA
2013,"Reedville, VA",317.7,VA
2013,"Intracoastal City, LA",248.9,LA
2013,"Cameron, LA",194.7,LA
2013,"Alaska Penninsula (Other), AK",187.2,AK
2013,"Pascagoula-Moss Point, MS",171.1,MS
2013,"Astoria, OR",158.7,OR
2013,"Cordova, AK",147.4,AK
2013,"Ketchikan, AK",143.5,AK
2013,"Westport, WA",139.6,WA
2013,"New Bedford, MA",129.8,MA
2013,"Newport, OR",126.8,OR
2013,"Sitka, AK",126.2,AK
2013,"Petersburg, AK",122.6,AK
2013,"Los Angeles, CA",113.1,CA
2013,"Port Hueneme-Oxnard-Ventura, CA",104.7,CA
2013,"Seward, AK",84.3,AK
2013,"Naknek, AK",78.3,AK
2013,"Gloucester, MA",62.4,MA
2013,"Portland, ME",62.1,ME
2013,"Valdez, AK",60.9,AK
2013,"Point Judith, RI",54.6,RI
2013,"Bristol Bay (Other), AK",41.2,AK
2013,"Ilwaco-Chinook, WA",37.3,WA
2013,"Dulac-Chauvin, LA",37.1,LA
2013,"Kenai, AK",35.6,AK
2013,"Rockland, ME",34.6,ME
2013,"Coos Bay-Charleston, OR",32.8,OR
2013,"Honolulu, HI",29.0,HI
2013,"Atlantic City, NJ",27.3,NJ
2013,"Bellingham, WA",23.5,WA
2013,"Moss Landing, CA",23.0,CA
2013,"Galveston, TX",22.6,TX
2013,"Monterey, CA",22.5,CA
2013,"North Kingstown, RI",21.7,RI
2013,"Brownsville-Port Isabel, TX",20.7,TX
2013,"Juneau, AK",20.4,AK
2013,"Cape May-Wildwood, NJ",20.4,NJ
2013,"Boston, MA",20.2,MA
2013,"Stonington, ME",19.9,ME
2013,"Princeton-Half Moon Bay, CA",18.5,CA
2013,"Crescent City, CA",18.2,CA
2013,"Hampton Roads Area, VA",16.5,VA
2013,"Golden Meadow-Leeville, LA",16.2,LA
2013,"Wanchese-Stumpy Point, NC",16.1,NC
2013,"Point Pleasant, NJ",15.4,NJ
2013,"Eureka, CA",15.4,CA
2013,"Bayou La Batre, AL",15.3,AL
2013,"Port Arthur, TX",14.9,TX
2013,"Jonesport, ME",14.2,ME
2013,"Upper Southeast (Other), AK",14.1,AK
2013,"Provincetown-Chatham, MA",13.8,MA
2013,"Vinalhaven, ME",13.3,ME
2013,"Shelton, WA",13.1,WA
2013,"Montauk, NY",13.1,NY
2013,"Brookings, OR",13.1,OR
2013,"Seattle, WA",12.4,WA
2013,"Anchorage, AK",11.8,AK
2013,"Yukon Delta (Other), AK",11.7,AK
2013,"San Francisco Area, CA",11.4,CA
2013,"Palacios, TX",10.9,TX
2013,"Lafitte-Barataria, LA",10.8,LA
2013,"Homer, AK",10.3,AK
2013,"Gulfport-Biloxi, MS",9.4,MS
2013,"Delacroix-Yscloskey, LA",8.7,LA
2013,"Accomac, VA",8.7,VA
2013,"Long Beach-Barnegat, NJ",8.6,NJ
2013,"Fort Bragg, CA",8.6,CA
2013,"Newport, RI",8.1,RI
2013,"Grand Isle, LA",7.7,LA
2013,"Key West, FL",7.5,FL
2013,"Fairhaven, MA",7.2,MA
2013,"Tampa Bay-St. Petersburg, FL",7.1,FL
2013,"Anacortes-La Conner, WA",7.0,WA
2013,"Morro Bay, CA",6.7,CA
2013,"Santa Barbara, CA",6.4,CA
2013,"Beaufort-Morehead City, NC",6.4,NC
2013,"Yakutat, AK",6.2,AK
2013,"Darien-Bellville, GA",6.2,GA
2013,"Beals Island, ME",6.2,ME
2013,"Hampton Bay-Shinnicock, NY",6.1,NY
2013,"Wrangell, AK",5.8,AK
2013,"Neah Bay, WA",5.0,WA
2013,"New London, CT",4.9,CT
2013,"Craig, AK",4.9,AK
2013,"Friendship, ME",4.8,ME
2013,"Chincoteague, VA",4.8,VA
2013,"Ocean City, MD",4.6,MD
2013,"Egegik, AK",4.3,AK
2013,"Spruce Head, ME",4.2,ME
2013,"Newington, NH",4.1,NH
2013,"Engelhard-Swanquarter, NC",4.1,NC
2013,"Port Clyde, ME",3.9,ME
2013,"Bodega Bay, CA",3.7,CA
2013,"Cortez, FL",3.6,FL
2013,"Olympia, WA",3.4,WA
2013,"Norton/Kotzebue Sound, AK",2.9,AK
2013,"Fort Myers, FL",2.8,FL
2013,"Everett, WA",2.8,WA
2013,"Bon Secour-Gulf Shores, AL",2.8,AL
2013,"Stonington, CT",2.7,CT
2013,"Freeport, TX",2.7,TX
2013,"Mayport, FL",2.6,FL
2013,"Aransas Pass-Rockport, TX",2.5,TX
2013,"Blaine, WA",2.4,WA
2013,"Tacoma, WA",2.3,WA
2013,"Port Orford, OR",2.3,OR
2013,"Belhaven-Washington, NC",2.2,NC
2013,"Apalachicola, FL",2.2,FL
2013,"Belford, NJ",2.1,NJ
2013,"Oriental-Vandemere, NC",1.9,NC
2013,"Tillamook, OR",1.8,OR
2013,"Sneads Ferry-Swansboro, NC",1.8,NC
2013,"Elizabeth City, NC",1.7,NC
2013,"Savannah, GA",1.6,GA
2013,"Port Townsend, WA",1.4,WA
2013,"Naples, FL",1.2,FL
